Model,RMSE,R2,MAE,Time_s
Lasso,8.26277530960471,-0.000312297330246514,6.93495013294216,0.027101
Linear,8.26290958653208,-0.000344809397454293,6.93511997868751,0.4635556
Ridge,8.26304378201432,-0.000377302272460689,6.93487827330475,0.2184083
Tree,8.35537666903311,-0.0228590401154214,6.97008190284816,0.1053599
SVM,8.44762309333526,-0.0455691943493624,7.02527323724233,0.9823565
RandomForest,8.45123657216745,-0.0464638720975472,6.92915029531079,1.2084231
Ensemble,9.06359657523751,-0.203607415808531,7.25697496125146,0.5228102
